"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G52500",88.1259376621466,0.308818218411529,0.275770296348621,1.11983858486749,0.262782553472319,0.999646927568409
"AT1G10430",178.150454667905,-0.255678113126805,0.225514338377082,-1.13375546303085,0.256897137528679,0.999646927568409
"AT1G05670",55.5192227820171,-0.145550372102259,0.399681126190045,-0.364166237945023,0.715733876755478,0.999646927568409
"AT1G64110",59.8306299541579,0.415935801880663,0.579034164420541,0.718326875059098,0.472555763054052,0.999646927568409
"AT1G65220",494.527804810944,-0.0253341890402623,0.233346882215921,-0.108568791661935,0.913544515041614,0.999646927568409
"AT1G13635",61.4084944073697,0.57217076753768,0.457426289726243,1.25084801724035,0.21098993235241,0.999646927568409
"AT1G54950",2.70477685017803,-0.641189594543723,1.27902993115655,-0.501309296150663,0.616153463860298,0.999646927568409
"AT1G55730",234.396945949262,0.00935162836787886,0.222223960015504,0.04208199857129,0.966433330516822,0.999646927568409
"AT1G07310",227.479746107705,-0.349425922552233,0.266491000717068,-1.31121096626905,0.189786498411717,0.999646927568409
"AT1G77230",40.0764924916035,-0.082978783025888,0.334633031351719,-0.247969492702806,0.804158011041971,0.999646927568409
"AT1G52400",6.07383978437987,0.82996589288285,0.941159142428619,0.881854997169937,0.377855226081902,0.999646927568409
"AT1G16430",15.8862621320171,0.0427686382538937,0.531459867439629,0.0804738812357303,0.935860368602775,0.999646927568409
"AT1G27752",311.130491895451,-0.0394809656695333,0.237894862901527,-0.165959723501368,0.868188646541123,0.999646927568409
"AT1G11190",93.3941172225427,-0.196696508929001,0.493462050469466,-0.398605138413116,0.690184174852262,0.999646927568409
"AT1G26650",124.470815473514,-0.0906984274266383,0.261721987591446,-0.346544928308509,0.728933225521351,0.999646927568409
"AT1G34640",2.17516511092628,-0.799174071622133,1.48783033336291,-0.537140595739687,0.591170501070847,0.999646927568409
"AT1G50310",1.91878995199535,-0.249235259675244,1.3288841473477,-0.187552286008295,0.85122763261044,0.999646927568409
"AT1G49430",268.543946437139,0.116332904350834,0.294845671568392,0.394555238786503,0.693171153066551,0.999646927568409
"AT1G74240",43.7503619592676,0.58969104988099,0.474168759977201,1.24363117028069,0.213635338745505,0.999646927568409
"AT1G01760",24.4098464890698,-0.0409084424403447,0.496914486300163,-0.0823249141817811,0.934388343009263,0.999646927568409
"AT1G47480",317.092446237412,0.00373677652804875,0.210466505772434,0.0177547325848091,0.985834517225412,0.999646927568409
"AT1G65820",1357.72276323935,0.403423487544583,0.375253760268331,1.07506847434682,0.282344072633253,0.999646927568409
"AT1G22900",8.54014701702288,1.08130451728229,1.63417818528659,0.66168091522569,0.508175738274109,0.999646927568409
"AT1G76820",26.4289288902834,0.304370392517982,0.775865320081193,0.392297973166439,0.694838061042582,0.999646927568409
"AT1G52080",165.636890409714,0.299394213119472,0.344117837281136,0.870033984535576,0.384281832311787,0.999646927568409
"AT1G35180",5.59836622250234,-0.575969726400111,0.858904657801037,-0.670586334779818,0.502484090279966,0.999646927568409
"AT1G30070",159.847374605657,0.722998615755419,0.631478534121416,1.14492983797357,0.252238222632823,0.999646927568409
"AT1G35210",56.0049270646791,1.73539100665965,1.11405538085831,1.55772418182896,0.11929864557853,0.999646927568409
"AT1G10410",691.525014108265,0.0730853229632899,0.232758298208835,0.313996637394712,0.75352359267971,0.999646927568409
"AT1G73740",83.9171705636408,0.153019395437375,0.350179553599526,0.436974100470675,0.662130131083571,0.999646927568409
"AT1G53350",36.7686306169179,-0.436658404928755,0.440541652795258,-0.991185287834049,0.321595113117221,0.999646927568409
"AT1G34110",222.043565864056,-0.0218078512738701,0.216961149891788,-0.100515005957274,0.91993547013884,0.999646927568409
"AT1G17240",51.5980611288316,0.144610568788197,0.395659030709338,0.365492905669153,0.714743501534667,0.999646927568409
"AT1G61730",246.645533139779,0.206536458255067,0.3079843642046,0.670606960156784,0.502470947390008,0.999646927568409
"AT1G29260",195.517063648232,-0.126765069174,0.283286064280922,-0.447480780587545,0.654527961719628,0.999646927568409
"AT1G33890",4.54497674314487,-0.46692794557393,1.0461083024973,-0.44634761473479,0.65534616686043,0.999646927568409
"AT1G08040",149.670990350983,0.255290610442558,0.297121712209266,0.859212235094936,0.390223434352107,0.999646927568409
"AT1G08810",1.2732243341024,-2.90751021859404,1.92602611450256,-1.50959023696569,0.131148014082567,0.999646927568409
"AT1G09210",1010.82632572129,-0.0411451989301722,0.283025742183951,-0.145376171837508,0.884413876908526,0.999646927568409
"AT1G10522",21.3992910171407,0.183202923334399,0.481483106820884,0.380497094787071,0.703576452698475,0.999646927568409
"AT1G04570",8.60819437376238,-0.00980113144564209,0.809481530748968,-0.0121079123776594,0.990339519691107,0.999646927568409
"AT1G01830",93.4213360027581,-0.263527917226343,0.37617347177836,-0.700548914256273,0.483584569042693,0.999646927568409
"AT1G67590",34.6509921958827,-0.131565220472845,0.456267769643183,-0.288350896614358,0.773078150902064,0.999646927568409
"AT1G69080",27.1148103687339,-0.272449413147812,0.791424608227595,-0.344251884911648,0.730656865556735,0.999646927568409
"AT1G73300",76.6970448449636,-0.848638893200684,1.16998783783231,-0.725339927270523,0.468243516757713,0.999646927568409
"AT1G30530",40.3047376397463,0.173434396239138,0.81244254741884,0.213472813296331,0.830958192239727,0.999646927568409
"AT1G76850",514.345937386941,-0.129015516958576,0.222905749342133,-0.578789543739194,0.562731187354555,0.999646927568409
"AT1G73570",13.3572792611916,-0.0739703524859174,0.53194723375987,-0.139055808154289,0.889406048850475,0.999646927568409
"AT1G44130",31.3914579984428,0.543791308222518,0.775806862095055,0.700936450541334,0.483342675439325,0.999646927568409
"AT1G67340",165.491511812464,-0.175763474392786,0.317107149039788,-0.554271560653882,0.579393010409807,0.999646927568409
"AT1G08630",15.4138212410974,-0.820219507600916,0.823563893443852,-0.995939130078966,0.31927972138392,0.999646927568409
"AT1G66150",344.411035736379,-0.165402963691312,0.43107716316791,-0.383696882655057,0.701203123380266,0.999646927568409
"AT1G04640",35.7561234401926,-0.172290639186851,0.446247566890815,-0.386087571047767,0.699431814442327,0.999646927568409
"AT1G56500",62.6117992062306,0.0884207625715043,0.326208748689743,0.271055766979448,0.78634814123744,0.999646927568409
"AT1G77120",462.930235555863,0.881096351270662,1.43134106538441,0.615574004392888,0.538175712680532,0.999646927568409
"AT1G50590",14.8408569491175,0.0274617667263555,0.593912637172056,0.0462387310987624,0.963119972520825,0.999646927568409
"AT1G17147",133.915289188768,0.882068004316454,0.420383959806127,2.09824372158074,0.0358836211802413,0.999646927568409
"AT1G44740",13.3753639092869,-0.0822137772329777,0.62628549498046,-0.131272044286357,0.895560105821391,0.999646927568409
"AT1G60787",6.1258881758891,-0.976055853510535,1.02454636607756,-0.952671236585742,0.340756671276699,0.999646927568409
"AT1G68500",9.83681849532128,0.328903724114189,0.809663094533962,0.406222941782353,0.684578798794667,0.999646927568409
"AT1G15500",1562.21405312678,-0.305206030348412,0.352189395292009,-0.866596309906942,0.386163236095225,0.999646927568409
"AT1G53510",392.435662604219,0.00288166702983819,0.252526391104993,0.0114113499869409,0.990895257629533,0.999646927568409
"AT1G50020",99.4126731264072,-0.197083190712035,0.365630611864739,-0.539022675664103,0.589871208256841,0.999646927568409
"AT1G22370",18.2544157742572,-0.239186399674399,0.678669893863251,-0.352434080010324,0.724512747296755,0.999646927568409
"AT1G17270",61.4170947349109,-0.142761467765636,0.301809155856587,-0.473019008851649,0.636199617549686,0.999646927568409
"AT1G74350",17.0723653720694,0.400683453390382,0.494365382044689,0.810500629581223,0.417652503345057,0.999646927568409
"AT1G75230",92.0404397871982,0.0712878745987929,0.353367247690132,0.201738771956889,0.840120950089027,0.999646927568409
"AT1G29150",1028.11511395519,0.240369740161072,0.299863540837356,0.801597084760119,0.422786064508306,0.999646927568409
"AT1G17140",71.8523320591747,0.242452093576271,0.320416897731435,0.756676989549682,0.449243403784714,0.999646927568409
"AT1G08380",76.9414387005845,-0.862447061319065,0.608155417898229,-1.41813595001696,0.156151077221108,0.999646927568409
"AT1G43560",44.2591630072422,0.0462442959005487,0.321769729580538,0.143718602619436,0.885722680936436,0.999646927568409
"AT1G07700",84.1130591600218,-0.108586344266083,0.341708122629453,-0.317775133439933,0.750655514377588,0.999646927568409
"AT1G33750",84.1261449187889,-0.374294474643438,0.40407044823544,-0.926309944906804,0.354284929152045,0.999646927568409
"AT1G61270",4.93761564213986,-0.403271975155779,1.15779907687789,-0.348309117885323,0.727608046995574,0.999646927568409
"AT1G14750",8.49575318567085,-0.300560822260397,0.705994570940919,-0.425726818068619,0.670306918058015,0.999646927568409
"AT1G05900",62.772862782977,0.0525322809434235,0.293871294955701,0.178759483641784,0.858126560138972,0.999646927568409
"AT1G37130",5881.4438370539,0.714192012011452,0.931384297839512,0.766807013676448,0.443196265713248,0.999646927568409
"AT1G48175",59.1578848104062,0.275237991245269,0.313980742000361,0.87660787566695,0.380699659986427,0.999646927568409
"AT1G72140",146.094273110638,0.00354739414086464,0.385726636266288,0.00919665329623666,0.992662235760121,0.999646927568409
"AT1G66465",2.39784012517261,1.95759590737264,1.24603306971045,1.57106256243066,0.116168117505275,0.999646927568409
"AT1G01710",224.091704925497,0.44131254748907,0.380412946207005,1.16008814076723,0.246012922060514,0.999646927568409
"AT1G44000",41.6752407171629,0.198437814411286,0.39324799959123,0.504612393750396,0.613831103194373,0.999646927568409
"AT1G73960",271.90369544161,0.0341841134125866,0.24270801106699,0.140844602789611,0.887992706314902,0.999646927568409
"AT1G11360",246.808458681341,-0.108304080268855,0.267739846720094,-0.404512371227583,0.685835982480946,0.999646927568409
"AT1G04490",19.7172935291903,-0.0121997790911554,0.601149447515957,-0.0202940868390826,0.983808772835843,0.999646927568409
"AT1G15310",118.383522514669,0.0532343103232898,0.295828212996629,0.179950079081525,0.857191759438599,0.999646927568409
"AT1G13300",484.143316730731,-0.196877679342498,0.382781196487142,-0.514334771794653,0.607017954963179,0.999646927568409
"AT1G55530",361.497077741281,0.302278306708275,0.236109069501417,1.28024860436994,0.200457716940244,0.999646927568409
"AT1G74458",95.5338649814727,-0.257477627041508,0.48146347704526,-0.534781222911544,0.592801148720222,0.999646927568409
"AT1G32120",4.35966538445497,-0.566033876263423,0.966445688706932,-0.585686172412601,0.558086427970615,0.999646927568409
"AT1G17260",15.0619335476766,0.528605791432259,0.535218528155845,0.987644791098,0.323326641738382,0.999646927568409
"AT1G31480",176.512429880726,0.0440900034669598,0.267908432824983,0.164571167103809,0.869281527050914,0.999646927568409
"AT1G17500",615.616994501129,-0.0180614030874685,0.163245671690996,-0.110639399503691,0.911902302982541,0.999646927568409
"AT1G21150",10.1869716497084,-0.349886687122845,0.718277743046069,-0.487118932070826,0.62617405068666,0.999646927568409
"AT1G78110",134.687434156853,0.229758971150106,0.242869078231319,0.946019859025749,0.344138457254892,0.999646927568409
"AT1G23260",234.695721969925,0.151403144316448,0.227736251964102,0.66481793307248,0.50616695111465,0.999646927568409
"AT1G60270",52.1404083045611,0.0692562017933499,0.512007384196482,0.135264068314243,0.892403093270435,0.999646927568409
"AT1G25400",181.119969668759,0.500532850606023,0.431012885627997,1.16129440046029,0.245522195905122,0.999646927568409
"AT1G43140",12.8959038098584,-0.345547156172044,0.796553294315415,-0.433802934013372,0.664431550833582,0.999646927568409
"AT1G42470",399.127660834373,0.123598792155149,0.25070467579757,0.493005532353726,0.622008678283996,0.999646927568409
"AT1G75520",58.2083715087098,0.462501799489086,0.673973717696646,0.686231209533986,0.492567320084265,0.999646927568409
"AT1G73370",90.0552811123659,0.477560259827785,0.296721606725902,1.60945562777615,0.107516750029636,0.999646927568409
"AT1G01230",187.658525200393,0.0460309342637284,0.218673846077126,0.210500410037574,0.833277131666775,0.999646927568409
"AT1G70700",28.3137895296158,0.010928679503608,0.559291139009752,0.019540233594542,0.984410141395276,0.999646927568409
"AT1G02380",18.7862633349239,0.522043591843349,0.475469776228312,1.0979532621074,0.272224898507964,0.999646927568409
"AT1G48870",16.4737474942768,0.050942990170625,0.577528768270684,0.0882085758656931,0.929710901333447,0.999646927568409
"AT1G69280",25.0284037693372,0.166428550380041,0.544133798528692,0.30585960811487,0.759711541073691,0.999646927568409
"AT1G12430",195.434137836125,0.0920874155959412,0.215448576098443,0.42742178789738,0.669072140706093,0.999646927568409
"AT1G56320",109.378357569606,0.199113786465616,0.334230086768661,0.595738667307453,0.551349822379904,0.999646927568409
"AT1G36310",172.199629535928,0.0518601622690414,0.229936211413951,0.225541518450429,0.821558030229385,0.999646927568409
"AT1G44830",3.97712833487853,1.09167322079728,1.04450216951317,1.0451612765018,0.295948437253801,0.999646927568409
"AT1G01300",170.293365273976,-0.456037800733831,0.215777008450336,-2.11346799183563,0.0345607318202478,0.999646927568409
"AT1G48050",153.12472729072,-0.0134541936966863,0.217482566062158,-0.0618633205423972,0.950671677491509,0.999646927568409
"AT1G22180",249.649946805123,0.347194642272157,0.399937105293044,0.868123106551364,0.385326942857298,0.999646927568409
"AT1G17450",210.969680793301,-0.0349707288507757,0.276795196888338,-0.126341530647597,0.899461582925158,0.999646927568409
"AT1G28590",11.3974635018363,0.361641276700133,1.20310143288691,0.300590845305831,0.763726513187559,0.999646927568409
"AT1G79670",426.281196953374,-0.11589740666106,0.295945974035353,-0.391616770725913,0.695341394491988,0.999646927568409
"AT1G60080",78.8846569458605,-0.0354854918294011,0.31161459685385,-0.113876218212089,0.909335918028992,0.999646927568409
"AT1G64355",24.5839903128717,0.13307461583095,0.562056376714519,0.236763821823059,0.81284001960497,0.999646927568409
"AT1G04820",1926.90119953185,-0.312229032778918,0.234985233876688,-1.32871767143788,0.183941132561202,0.999646927568409
"AT1G33050",781.396833036886,0.0658513768855259,0.346996934319389,0.189775097047151,0.849485370934136,0.999646927568409
"AT1G77810",112.398337195771,0.531101087886639,0.445466403687542,1.19223601037074,0.233168717230405,0.999646927568409
"AT1G16210",364.957075348319,0.13768192752125,0.272455154436857,0.505337943801531,0.61332149676082,0.999646927568409
"AT1G02050",41.2102006211069,-0.404933128799779,0.366583347591837,-1.10461408424542,0.269326845608652,0.999646927568409
"AT1G66500",57.1726296889275,0.810147618014888,0.698930099474602,1.15912538124183,0.246405081467335,0.999646927568409
"AT1G04030",113.509351111773,0.213644248009007,0.273031661665711,0.782488912478525,0.433927298878852,0.999646927568409
"AT1G29370",203.654162233547,-0.0954391218116238,0.230804098179222,-0.413507050197672,0.679235158112782,0.999646927568409
"AT1G18880",612.522164103494,0.0150099483088093,0.167799609513632,0.0894516283578712,0.928722994385758,0.999646927568409
"AT1G50740",265.47032687638,0.947735741073582,0.660019001298773,1.4359219040795,0.151024564858462,0.999646927568409
